Abfall	28902
abführen	7601
Abgas	4575
Abgeordneter	72342
abmahnen	1589
Abrüstung	7099
Abschaffung	26490
Abstieg	10397
Abwasch	578
Abwasser	7561
Abwehr	24341
Achse	13656
Achsschenkel	32
Acker	9257
Adler	13666
Admin	3845
Affe	13672
Afrika	64505
After	3618
Ägypter	7701
Aktie	52367
allein	341525
Allerheiligen	1257
Allmacht	3428
Alltag	75328
Alpaka	228
Alpen	12056
Alptraum	12350
Altschnee	64
Aluminium	5402
Ameise	6669
Ampel	7680
Amt	134405
Anabolikum	32
Anarchie	6310
Andalusier	232
Angel	14345
Angriff	99313
Angst	203129
Angsthase	542
Anhang	35740
animieren	7287
Anker	5137
Anleihe	8601
Anpassung	36461
Anschlag	55519
Anschluss	65621
Anstand	4234
anti	323
Antibiotikum	11579
Antiimperialist	399
Antimoral	9
Antonius	3511
Anzug	8480
Apfel	20825
Appaloosa	77
Aqua	1730
Araber	18893
Arbeit	763991
Arbeiter	78094
Arbeitsmarkt	52667
Architekt	39200
Architektur	40646
Armbrust	1034
Asbest	1469
Asche	13094
Assyrer	1171
astral	793
Asylant	202
Atom	12751
Atommüll	3463
aufhängen	7215
Aufklärung	59048
AufklärungPapst	1
Aufruhr	5167
Aufstieg	27904
Auge	298822
August	202370
Ausbrecher	176
Ausländer	50929
Ausnahme	98057
Ausreißer	1567
Außenseiter	8039
Auswurf	1095
Authentizität	6411
Auto	143635
Automobil	6328
Autor	274220
Baby	40668
Bach	29661
Bad	82389
Bahnsport	7
Ballen	2033
balsamieren	53
Bambus	1366
Bänkster	0
Barberini	114
barfuß	11532
Barnvelder	0
Barrass	2
Basilisk	167
Basketball	4397
Baum	91537
Baustelle	15750
Bayern	126207
Befestigung	4118
Beflissenheit	89
Befruchtung	5580
Begründer	7361
Behinderter	4
Behörde	138406
Beihilfe	12174
Benimm	300
Benzin	9453
Berater	31962
Berber	861
Berg	90123
Beruf	115771
Beschwichtigung	644
Betriebswirtschaft	4458
Betroffenheit	6294
Bettler	5138
Bewegung	182608
Beziehung	198276
Bezirk	48829
Bier	40803
Biergarten	3965
Bilanz	37965
Bild	529016
Bildschirm	25273
Bildung	184661
Blasmusik	1094
Blei	5825
Blitz	13200
Blödsinn	6275
BluesRock	144
Blutmischung	23
Bock	9852
Bogen	22249
Böhmen	5080
Bohne	7527
Borghese	197
Borgia	310
Borland	540
Börse	27912
Borste	812
Bote	9035
Boulevard	3195
Bourbone	19
Braunkohle	89
brechen	97824
bremsen	14113
Brille	15303
Brite	17143
Bronze	5441
Browser	13473
Brücke	52120
Bruckern	6
Buch	556654
Buddler	41
Buddy	2872
Bügel	2082
Bühne	61367
Bund	143154
Bundessieger	425
Bürger	184992
Bürgerrecht	8398
Burgunder	1266
Büro	63281
Bürokrat	2300
Busch	15167
Busen	3302
Business	23291
Butter	24422
